pair,combo,mode,win_rate,avg_rr,exp_r,pf,n_setups,n_trades,baseline_wr,best_seed
EURUSD,H4_H1,rr2,0.4631,2.0,0.3894,1.725,18637,1004,0.3405,1
EURUSD,H4_H1,rr3,0.4249,3.0,0.6996,2.217,18615,779,0.284,0
EURUSD,H4_H1,rr4,0.3887,4.0,0.9437,2.544,18589,728,0.2424,3
EURUSD,H4_H1,sth,0.4531,1.57,0.0642,1.117,3859,245,0.3519,2
EURUSD,H4_H1,ith,0.4694,1.734,0.1635,1.308,4809,294,0.3614,4
EURUSD,H4_H1,liq,0.344,4.253,0.2945,1.449,1784,125,0.2119,1
EURUSD,H1_M15,rr2,0.4395,2.0,0.3186,1.568,21223,1381,0.3383,3
EURUSD,H1_M15,rr3,0.3876,3.0,0.5506,1.899,21212,1295,0.2839,2
EURUSD,H1_M15,rr4,0.3778,4.0,0.889,2.429,21191,1117,0.243,3
EURUSD,H1_M15,sth,0.4341,1.492,0.055,1.097,4759,334,0.3633,2
EURUSD,H1_M15,ith,0.4647,1.583,0.1422,1.266,6362,411,0.3606,2
EURUSD,H1_M15,liq,0.1029,5.098,-0.5504,0.386,1077,68,0.1764,1
EURUSD,M15_M5,rr2,0.4533,2.0,0.3599,1.658,23002,1317,0.3369,0
EURUSD,M15_M5,rr3,0.4198,3.0,0.6791,2.17,22991,1103,0.2805,2
EURUSD,M15_M5,rr4,0.3795,4.0,0.8977,2.447,22981,880,0.236,4
EURUSD,M15_M5,sth,0.5144,1.149,0.1088,1.224,5472,278,0.3607,4
EURUSD,M15_M5,ith,0.4873,1.383,0.1071,1.209,7382,474,0.3563,2
EURUSD,M15_M5,liq,0.25,4.325,-0.0119,0.984,833,40,0.1345,3
EURUSD,H4_M15,rr2,0.4468,2.0,0.3403,1.615,21223,1428,0.3383,3
EURUSD,H4_M15,rr3,0.3936,3.0,0.5743,1.947,21212,1306,0.2839,1
EURUSD,H4_M15,rr4,0.3929,4.0,0.9645,2.589,21191,1013,0.243,3
EURUSD,H4_M15,sth,0.4579,1.398,0.0907,1.167,4759,297,0.3633,0
EURUSD,H4_M15,ith,0.4818,1.482,0.1788,1.345,6362,384,0.3606,0
EURUSD,H4_M15,liq,0.1096,4.928,-0.5135,0.423,1077,73,0.1764,3
GBPUSD,H4_H1,rr2,0.4483,2.0,0.345,1.625,18483,997,0.3403,0
GBPUSD,H4_H1,rr3,0.4369,3.0,0.7474,2.327,18468,776,0.2836,0
GBPUSD,H4_H1,rr4,0.407,4.0,1.035,2.745,18445,629,0.243,4
GBPUSD,H4_H1,sth,0.4286,1.439,-0.0591,0.897,3908,252,0.3411,4
GBPUSD,H4_H1,ith,0.3979,1.542,-0.1258,0.791,4680,284,0.3368,0
GBPUSD,H4_H1,liq,0.2936,4.22,0.038,1.054,1709,109,0.2147,2
GBPUSD,H1_M15,rr2,0.4558,2.0,0.3673,1.675,20979,1051,0.337,2
GBPUSD,H1_M15,rr3,0.4204,3.0,0.6817,2.176,20966,930,0.2813,0
GBPUSD,H1_M15,rr4,0.4047,4.0,1.0235,2.719,20952,850,0.2397,3
GBPUSD,H1_M15,sth,0.4803,1.389,0.1859,1.358,4526,229,0.3449,3
GBPUSD,H1_M15,ith,0.4651,1.245,0.0019,1.003,6009,301,0.358,0
GBPUSD,H1_M15,liq,0.2586,3.808,-0.1919,0.741,997,58,0.1926,3
GBPUSD,M15_M5,rr2,0.4344,2.0,0.3032,1.536,22745,1174,0.3354,1
GBPUSD,M15_M5,rr3,0.374,3.0,0.4962,1.793,22733,1302,0.2795,2
GBPUSD,M15_M5,rr4,0.3601,4.0,0.8004,2.251,22707,1072,0.239,4
GBPUSD,M15_M5,sth,0.394,1.376,-0.1883,0.689,4886,335,0.3555,1
GBPUSD,M15_M5,ith,0.4062,1.407,-0.101,0.83,6709,389,0.3407,2
GBPUSD,M15_M5,liq,0.1471,5.925,-0.3596,0.578,740,34,0.1297,0
GBPUSD,H4_M15,rr2,0.4358,2.0,0.3075,1.545,20979,1239,0.337,2
GBPUSD,H4_M15,rr3,0.4221,3.0,0.6885,2.191,20966,976,0.2813,4
GBPUSD,H4_M15,rr4,0.4157,4.0,1.0787,2.846,20952,801,0.2397,2
GBPUSD,H4_M15,sth,0.4528,1.41,0.0925,1.169,4526,265,0.3449,3
GBPUSD,H4_M15,ith,0.4506,1.24,-0.0181,0.967,6009,324,0.358,4
GBPUSD,H4_M15,liq,0.2188,4.16,-0.1603,0.795,997,64,0.1926,4
XAUUSD,H4_H1,rr2,0.4705,2.0,0.4116,1.777,18761,1086,0.3425,4
XAUUSD,H4_H1,rr3,0.4219,3.0,0.6875,2.189,18738,1024,0.287,3
XAUUSD,H4_H1,rr4,0.3723,4.0,0.8615,2.373,18719,975,0.2457,1
XAUUSD,H4_H1,sth,0.4108,2.285,0.2287,1.388,5025,353,0.3582,3
XAUUSD,H4_H1,ith,0.4331,2.241,0.2428,1.428,6030,411,0.3562,3
XAUUSD,H4_H1,liq,0.3812,3.272,0.3486,1.563,4294,320,0.2552,2
XAUUSD,H1_M15,rr2,0.4756,2.0,0.4267,1.814,20150,1085,0.3444,3
XAUUSD,H1_M15,rr3,0.4055,3.0,0.6218,2.046,20140,952,0.2889,4
XAUUSD,H1_M15,rr4,0.3771,4.0,0.8855,2.422,20124,891,0.2466,3
XAUUSD,H1_M15,sth,0.4487,2.01,0.218,1.395,7346,468,0.352,4
XAUUSD,H1_M15,ith,0.4334,2.183,0.2367,1.418,8690,533,0.3432,4
XAUUSD,H1_M15,liq,0.3173,3.876,0.2138,1.313,4029,249,0.2204,3
XAUUSD,M15_M5,rr2,0.4746,2.0,0.4237,1.806,21168,1140,0.3422,2
XAUUSD,M15_M5,rr3,0.4415,3.0,0.7658,2.371,21162,1042,0.2889,1
XAUUSD,M15_M5,rr4,0.4032,4.0,1.0159,2.702,21151,945,0.2469,0
XAUUSD,M15_M5,sth,0.4598,1.816,0.2406,1.445,7412,435,0.3501,1
XAUUSD,M15_M5,ith,0.4902,1.831,0.2642,1.518,8962,563,0.3488,0
XAUUSD,M15_M5,liq,0.3352,4.115,0.1952,1.294,3143,179,0.1903,3
XAUUSD,H4_M15,rr2,0.4643,2.0,0.3928,1.733,20150,1049,0.3444,3
XAUUSD,H4_M15,rr3,0.4,3.0,0.6,2.0,20140,975,0.2889,4
XAUUSD,H4_M15,rr4,0.3598,4.0,0.7989,2.248,20124,920,0.2466,0
XAUUSD,H4_M15,sth,0.437,1.87,0.1685,1.299,7346,492,0.352,4
XAUUSD,H4_M15,ith,0.415,2.074,0.1337,1.229,8690,547,0.3432,3
XAUUSD,H4_M15,liq,0.3272,3.918,0.2511,1.373,4029,217,0.2204,4
