signal_datetime,direction,entry_price,stop_loss,tp_target,tp_fixed_2r,result,rr_achieved,exit_datetime,exit_price,candles_held,risk_pips,ofl_probability
2010-04-14 03:00:00,BEARISH,1.36553,1.36645,1.35437,1.36369,LOSS,-1.0,2010-04-14 15:00:00,1.36645,12,9.2,MEDIUM
2010-04-14 09:00:00,BEARISH,1.36431,1.36517,1.35437,1.36259,LOSS,-1.0,2010-04-14 15:00:00,1.36517,6,8.6,MEDIUM
2010-04-14 14:00:00,BULLISH,1.36171,1.35985,1.36644,1.36543,WIN,2.54,2010-04-14 15:00:00,1.36644,1,18.6,LOW
2010-04-15 21:00:00,BEARISH,1.35798,1.35847,1.35169,1.357,WIN,12.84,2010-04-16 06:00:00,1.35169,9,4.9,MEDIUM
2010-04-20 04:00:00,BEARISH,1.34816,1.34888,1.34124,1.34672,LOSS,-1.0,2010-04-20 08:00:00,1.34888,4,7.2,MEDIUM
2010-04-20 15:00:00,BULLISH,1.34431,1.34297,1.35222,1.34699,LOSS,-1.0,2010-04-20 17:00:00,1.34297,2,13.4,MEDIUM
2010-04-29 13:00:00,BULLISH,1.32213,1.32065,1.32773,1.32509,WIN,3.78,2010-04-30 06:00:00,1.32773,17,14.8,MEDIUM
2010-04-30 20:00:00,BEARISH,1.33096,1.33161,1.32196,1.32966,WIN,13.85,2010-05-03 01:00:00,1.32196,2,6.5,MEDIUM
2010-05-06 02:00:00,BEARISH,1.28514,1.2854,1.28029,1.28462,WIN,18.65,2010-05-06 06:00:00,1.28029,4,2.6,MEDIUM
2010-05-06 08:00:00,BEARISH,1.28103,1.28257,1.27359,1.27795,WIN,4.83,2010-05-06 11:00:00,1.27359,3,15.4,MEDIUM
2010-05-07 16:00:00,BEARISH,1.27214,1.27702,1.26087,1.26238,LOSS,-1.0,2010-05-10 00:00:00,1.27702,5,48.8,MEDIUM
2010-05-11 06:00:00,BULLISH,1.26861,1.2676,1.29386,1.27063,LOSS,-1.0,2010-05-11 08:00:00,1.2676,2,10.1,MEDIUM
2010-05-13 04:00:00,BULLISH,1.26583,1.26365,1.27091,1.27019,LOSS,-1.0,2010-05-13 07:00:00,1.26365,3,21.8,MEDIUM
2010-05-17 13:00:00,BEARISH,1.23684,1.24135,1.22373,1.22782,LOSS,-1.0,2010-05-18 07:00:00,1.24135,18,45.1,MEDIUM
2010-05-20 15:00:00,BEARISH,1.23597,1.23879,1.22951,1.23033,LOSS,-1.0,2010-05-20 17:00:00,1.23879,2,28.2,MEDIUM
2010-05-20 17:00:00,BEARISH,1.23732,1.23879,1.22951,1.23438,LOSS,-1.0,2010-05-20 18:00:00,1.23879,1,14.7,MEDIUM
2010-05-20 23:00:00,BEARISH,1.24985,1.25409,1.22951,1.24137,LOSS,-1.0,2010-05-21 01:00:00,1.25409,2,42.4,MEDIUM
2010-05-21 09:00:00,BEARISH,1.25332,1.25656,1.22951,1.24684,LOSS,-1.0,2010-05-21 12:00:00,1.25656,3,32.4,MEDIUM
2010-05-26 08:00:00,BEARISH,1.23238,1.23434,1.22594,1.22846,WIN,3.29,2010-05-26 12:00:00,1.22594,4,19.6,LOW
2010-05-31 00:00:00,BULLISH,1.23033,1.22613,1.24518,1.23873,LOSS,-1.0,2010-06-01 00:00:00,1.22613,24,42.0,MEDIUM
2010-06-01 00:00:00,BULLISH,1.22536,1.22446,1.23134,1.22716,LOSS,-1.0,2010-06-01 06:00:00,1.22446,6,9.0,MEDIUM
2010-06-01 23:00:00,BEARISH,1.22468,1.22522,1.21118,1.2236,LOSS,-1.0,2010-06-02 01:00:00,1.22522,2,5.4,MEDIUM
2010-06-02 07:00:00,BEARISH,1.22315,1.2249,1.21821,1.21965,LOSS,-1.0,2010-06-02 09:00:00,1.2249,2,17.5,MEDIUM
2010-06-02 09:00:00,BEARISH,1.22628,1.22719,1.21821,1.22446,WIN,8.87,2010-06-02 12:00:00,1.21821,3,9.1,MEDIUM
2010-06-03 01:00:00,BEARISH,1.23001,1.23064,1.21741,1.22875,LOSS,-1.0,2010-06-03 05:00:00,1.23064,4,6.3,MEDIUM
2010-06-03 10:00:00,BULLISH,1.22507,1.22757,1.23263,1.23007,LOSS,-1.0,2010-06-03 11:00:00,1.22757,1,25.0,MEDIUM
2010-06-07 16:00:00,BEARISH,1.19544,1.19727,1.18746,1.19178,LOSS,-1.0,2010-06-08 03:00:00,1.19727,11,18.3,MEDIUM
2010-06-08 18:00:00,BULLISH,1.19299,1.19173,1.20093,1.19551,WIN,6.3,2010-06-09 12:00:00,1.20093,18,12.6,MEDIUM
2010-06-08 23:00:00,BEARISH,1.19558,1.1978,1.18989,1.19114,LOSS,-1.0,2010-06-09 07:00:00,1.1978,8,22.2,MEDIUM
2010-06-09 20:00:00,BULLISH,1.1986,1.19703,1.20728,1.20174,LOSS,-1.0,2010-06-10 00:00:00,1.19703,4,15.7,MEDIUM
2010-06-10 00:00:00,BULLISH,1.19594,1.19732,1.20728,1.1987,LOSS,-1.0,2010-06-10 01:00:00,1.19732,1,13.8,MEDIUM
2010-06-11 15:00:00,BULLISH,1.2053,1.20439,1.21526,1.20712,WIN,10.95,2010-06-14 00:00:00,1.21526,6,9.1,MEDIUM
2010-06-17 15:00:00,BULLISH,1.23396,1.23383,1.23721,1.23422,WIN,25.0,2010-06-17 17:00:00,1.23721,2,1.3,MEDIUM
2010-06-18 06:00:00,BULLISH,1.23667,1.23622,1.24141,1.23757,WIN,10.53,2010-06-18 07:00:00,1.24141,1,4.5,MEDIUM
2010-06-21 12:00:00,BULLISH,1.23728,1.23466,1.24659,1.24252,LOSS,-1.0,2010-06-21 16:00:00,1.23466,4,26.2,MEDIUM
2010-06-21 13:00:00,BULLISH,1.2368,1.23466,1.24659,1.24108,LOSS,-1.0,2010-06-21 16:00:00,1.23466,3,21.4,MEDIUM
2010-06-22 02:00:00,BULLISH,1.22868,1.22818,1.24118,1.22968,LOSS,-1.0,2010-06-22 09:00:00,1.22818,7,5.0,MEDIUM
2010-06-22 14:00:00,BULLISH,1.2275,1.22608,1.24659,1.23034,LOSS,-1.0,2010-06-22 18:00:00,1.22608,4,14.2,LOW
2010-06-23 08:00:00,BULLISH,1.22711,1.227,1.22986,1.22733,LOSS,-1.0,2010-06-23 10:00:00,1.227,2,1.1,MEDIUM
2010-06-23 14:00:00,BULLISH,1.22148,1.22073,1.23049,1.22298,WIN,12.01,2010-06-23 18:00:00,1.23049,4,7.5,MEDIUM
2010-06-24 16:00:00,BEARISH,1.23752,1.23873,1.22583,1.2351,WIN,9.66,2010-06-25 09:00:00,1.22583,17,12.1,MEDIUM
2010-06-30 09:00:00,BULLISH,1.22397,1.22035,1.23974,1.23121,LOSS,-1.0,2010-07-01 00:00:00,1.22035,15,36.2,MEDIUM
2010-07-02 20:00:00,BEARISH,1.25616,1.25685,1.24794,1.25478,WIN,11.91,2010-07-06 00:00:00,1.24794,25,6.9,LOW
2010-07-06 08:00:00,BEARISH,1.25776,1.26071,1.24783,1.25186,LOSS,-1.0,2010-07-06 14:00:00,1.26071,6,29.5,MEDIUM
2010-07-07 15:00:00,BULLISH,1.25923,1.25833,1.26617,1.26103,WIN,7.71,2010-07-07 18:00:00,1.26617,3,9.0,MEDIUM
2010-07-08 09:00:00,BEARISH,1.26572,1.26649,1.26168,1.26418,LOSS,-1.0,2010-07-08 12:00:00,1.26649,3,7.7,MEDIUM
2010-07-09 00:00:00,BULLISH,1.26795,1.26715,1.27107,1.26955,WIN,3.9,2010-07-09 06:00:00,1.27107,6,8.0,MEDIUM
2010-07-13 00:00:00,BEARISH,1.26044,1.26126,1.25477,1.2588,WIN,6.91,2010-07-13 06:00:00,1.25477,6,8.2,MEDIUM
2010-07-13 10:00:00,BEARISH,1.25839,1.25948,1.25216,1.25621,LOSS,-1.0,2010-07-13 12:00:00,1.25948,2,10.9,MEDIUM
2010-07-15 00:00:00,BULLISH,1.27157,1.27065,1.27778,1.27341,WIN,6.75,2010-07-15 08:00:00,1.27778,8,9.2,LOW
2010-07-16 15:00:00,BULLISH,1.29142,1.29121,1.29667,1.29184,LOSS,-1.0,2010-07-19 00:00:00,1.29121,6,2.1,MEDIUM
2010-07-20 09:00:00,BULLISH,1.29734,1.29634,1.30272,1.29934,LOSS,-1.0,2010-07-20 10:00:00,1.29634,1,10.0,MEDIUM
2010-07-21 18:00:00,BULLISH,1.27447,1.27292,1.28299,1.27757,WIN,5.5,2010-07-22 08:00:00,1.28299,14,15.5,MEDIUM
2010-07-22 14:00:00,BEARISH,1.28826,1.29316,1.2739,1.27846,LOSS,-1.0,2010-07-23 08:00:00,1.29316,18,49.0,MEDIUM
2010-07-23 18:00:00,BEARISH,1.29239,1.29299,1.2792,1.29119,LOSS,-1.0,2010-07-26 00:00:00,1.29299,3,6.0,LOW
2010-07-27 00:00:00,BULLISH,1.29847,1.29758,1.30055,1.30025,WIN,2.34,2010-07-27 01:00:00,1.30055,1,8.9,MEDIUM
2010-07-27 20:00:00,BULLISH,1.29918,1.29842,1.30456,1.3007,LOSS,-1.0,2010-07-27 23:00:00,1.29842,3,7.6,MEDIUM
2010-07-30 10:00:00,BULLISH,1.29977,1.29774,1.30927,1.30383,WIN,4.68,2010-08-02 12:00:00,1.30927,23,20.3,MEDIUM
2010-07-30 13:00:00,BULLISH,1.30048,1.29992,1.30927,1.3016,WIN,15.7,2010-08-02 12:00:00,1.30927,20,5.6,MEDIUM
2010-08-04 14:00:00,BULLISH,1.31465,1.31293,1.32383,1.31809,LOSS,-1.0,2010-08-05 06:00:00,1.31293,16,17.2,MEDIUM
2010-08-04 20:00:00,BULLISH,1.31554,1.31458,1.32383,1.31746,LOSS,-1.0,2010-08-05 02:00:00,1.31458,6,9.6,MEDIUM
2010-08-12 15:00:00,BEARISH,1.28507,1.28738,1.27802,1.28045,LOSS,-1.0,2010-08-13 05:00:00,1.28738,14,23.1,MEDIUM
2010-08-16 07:00:00,BEARISH,1.28202,1.28335,1.27318,1.27936,LOSS,-1.0,2010-08-16 12:00:00,1.28335,5,13.3,MEDIUM
2010-08-16 12:00:00,BEARISH,1.28389,1.28245,1.27729,1.28101,LOSS,-1.0,2010-08-16 13:00:00,1.28245,1,14.4,MEDIUM
2010-08-16 20:00:00,BEARISH,1.28214,1.28278,1.27729,1.28086,LOSS,-1.0,2010-08-16 23:00:00,1.28278,3,6.4,MEDIUM
2010-08-18 06:00:00,BULLISH,1.28241,1.28192,1.29155,1.28339,WIN,18.65,2010-08-18 12:00:00,1.29155,6,4.9,MEDIUM
2010-08-19 10:00:00,BEARISH,1.2841,1.28522,1.27714,1.28186,LOSS,-1.0,2010-08-19 12:00:00,1.28522,2,11.2,MEDIUM
2010-08-19 14:00:00,BEARISH,1.28609,1.29024,1.27714,1.27779,WIN,2.16,2010-08-20 08:00:00,1.27714,18,41.5,MEDIUM
