signal_datetime,direction,entry_price,stop_loss,tp_target,tp_fixed_2r,result,rr_achieved,exit_datetime,exit_price,candles_held,risk_pips,ofl_probability
2024-12-17 01:50:00,BULLISH,1.05214,1.05187,1.05343,1.05268,LOSS,-1.0,2024-12-17 02:50:00,1.05187,12,2.7,MEDIUM
2024-12-17 03:00:00,BULLISH,1.05177,1.0516,1.05267,1.05211,LOSS,-1.0,2024-12-17 03:25:00,1.0516,5,1.7,MEDIUM
2024-12-17 09:30:00,BULLISH,1.04836,1.04809,1.05091,1.0489,LOSS,-1.0,2024-12-17 09:40:00,1.04809,2,2.7,MEDIUM
2024-12-17 15:20:00,BULLISH,1.05025,1.05003,1.05093,1.05069,LOSS,-1.0,2024-12-17 15:35:00,1.05003,3,2.2,MEDIUM
2024-12-17 15:45:00,BULLISH,1.04993,1.04956,1.05093,1.05067,LOSS,-1.0,2024-12-17 16:20:00,1.04956,7,3.7,MEDIUM
2024-12-17 19:40:00,BULLISH,1.04922,1.04878,1.05041,1.0501,LOSS,-1.0,2024-12-17 20:10:00,1.04878,6,4.4,MEDIUM
2024-12-18 00:45:00,BEARISH,1.05013,1.05028,1.04851,1.04983,LOSS,-1.0,2024-12-18 02:00:00,1.05028,15,1.5,MEDIUM
2024-12-18 01:10:00,BULLISH,1.04976,1.0496,1.05027,1.05008,LOSS,-1.0,2024-12-18 01:50:00,1.0496,8,1.6,MEDIUM
2024-12-18 01:35:00,BULLISH,1.04981,1.04967,1.05027,1.05009,LOSS,-1.0,2024-12-18 01:50:00,1.04967,3,1.4,MEDIUM
2024-12-18 02:25:00,BULLISH,1.04987,1.04969,1.05037,1.05023,LOSS,-1.0,2024-12-18 02:40:00,1.04969,3,1.8,LOW
2024-12-18 10:40:00,BEARISH,1.04991,1.05003,1.04911,1.04967,LOSS,-1.0,2024-12-18 11:05:00,1.05003,5,1.2,MEDIUM
2024-12-18 13:50:00,BULLISH,1.04889,1.04875,1.04985,1.04917,LOSS,-1.0,2024-12-18 14:35:00,1.04875,9,1.4,MEDIUM
2024-12-19 01:35:00,BEARISH,1.0376,1.0378,1.0371,1.0372,LOSS,-1.0,2024-12-19 01:55:00,1.0378,4,2.0,MEDIUM
2024-12-19 03:20:00,BEARISH,1.0382,1.03836,1.03734,1.03788,LOSS,-1.0,2024-12-19 05:25:00,1.03836,25,1.6,MEDIUM
2024-12-19 03:30:00,BULLISH,1.03799,1.03774,1.03909,1.03849,LOSS,-1.0,2024-12-19 03:55:00,1.03774,5,2.5,MEDIUM
2024-12-19 03:35:00,BULLISH,1.03799,1.03774,1.03909,1.03849,LOSS,-1.0,2024-12-19 03:55:00,1.03774,4,2.5,MEDIUM
2024-12-19 04:10:00,BULLISH,1.03773,1.03748,1.03909,1.03823,WIN,5.44,2024-12-19 07:00:00,1.03909,34,2.5,MEDIUM
2024-12-19 07:30:00,BULLISH,1.03937,1.03903,1.04094,1.04005,WIN,4.62,2024-12-19 09:00:00,1.04094,18,3.4,LOW
2024-12-19 08:05:00,BEARISH,1.03965,1.04052,1.03749,1.03791,LOSS,-1.0,2024-12-19 08:40:00,1.04052,7,8.7,MEDIUM
2024-12-19 14:00:00,BEARISH,1.04053,1.04073,1.03858,1.04013,WIN,9.75,2024-12-19 15:45:00,1.03858,21,2.0,MEDIUM
