signal_datetime,direction,entry_price,stop_loss,tp_target,tp_fixed_2r,result,rr_achieved,exit_datetime,exit_price,candles_held,risk_pips,ofl_probability
2010-08-24 00:00:00,BULLISH,1.2644,1.25836,1.33333,1.27648,WIN,11.41,2010-09-22 00:00:00,1.33333,21,60.4,LOW
2010-10-28 00:00:00,BEARISH,1.39056,1.395,1.36961,1.38168,LOSS,-1.0,2010-11-01 00:00:00,1.395,2,44.4,MEDIUM
2010-12-09 00:00:00,BULLISH,1.3178,1.31642,1.3523,1.32056,LOSS,-1.0,2010-12-17 00:00:00,1.31642,6,13.8,MEDIUM
2011-03-28 00:00:00,BULLISH,1.40519,1.40261,1.4248,1.41035,WIN,7.6,2011-04-04 00:00:00,1.4248,5,25.8,LOW
2011-06-09 00:00:00,BEARISH,1.45099,1.46957,1.39694,1.41383,WIN,2.91,2011-07-12 00:00:00,1.39694,23,185.8,MEDIUM
2011-07-13 00:00:00,BEARISH,1.42142,1.42803,1.38371,1.4082,LOSS,-1.0,2011-07-21 00:00:00,1.42803,6,66.1,MEDIUM
2011-07-22 00:00:00,BEARISH,1.43981,1.44374,1.38371,1.43195,LOSS,-1.0,2011-07-26 00:00:00,1.44374,2,39.3,MEDIUM
2011-07-26 00:00:00,BEARISH,1.44953,1.44374,1.38371,1.43795,LOSS,-1.0,2011-07-27 00:00:00,1.44374,1,57.9,MEDIUM
2012-01-03 00:00:00,BEARISH,1.30434,1.30759,1.29481,1.29784,WIN,2.93,2012-01-04 00:00:00,1.29481,1,32.5,MEDIUM
2012-02-06 00:00:00,BULLISH,1.30592,1.30276,1.32304,1.31224,WIN,5.42,2012-02-07 00:00:00,1.32304,1,31.6,MEDIUM
2012-03-08 00:00:00,BEARISH,1.3282,1.32911,1.30545,1.32638,WIN,25.0,2012-03-13 00:00:00,1.30545,3,9.1,MEDIUM
2012-04-20 00:00:00,BEARISH,1.32131,1.32264,1.29958,1.31865,LOSS,-1.0,2012-04-25 00:00:00,1.32264,3,13.3,MEDIUM
2012-05-01 00:00:00,BEARISH,1.32777,1.32829,1.31477,1.32673,WIN,25.0,2012-05-02 00:00:00,1.31477,1,5.2,MEDIUM
2012-08-14 00:00:00,BEARISH,1.23267,1.23852,1.21339,1.22097,LOSS,-1.0,2012-08-21 00:00:00,1.23852,5,58.5,MEDIUM
2012-10-12 00:00:00,BEARISH,1.29371,1.29907,1.28258,1.28299,LOSS,-1.0,2012-10-16 00:00:00,1.29907,2,53.6,MEDIUM
2012-10-24 00:00:00,BULLISH,1.29786,1.29199,1.31386,1.3096,LOSS,-1.0,2012-10-26 00:00:00,1.29199,2,58.7,MEDIUM
2012-10-26 00:00:00,BULLISH,1.29127,1.28831,1.31386,1.29719,LOSS,-1.0,2012-11-02 00:00:00,1.28831,5,29.6,MEDIUM
2012-10-30 00:00:00,BULLISH,1.29367,1.28831,1.31386,1.30439,LOSS,-1.0,2012-11-02 00:00:00,1.28831,3,53.6,MEDIUM
2013-01-18 00:00:00,BEARISH,1.33356,1.33981,1.29971,1.32106,LOSS,-1.0,2013-01-25 00:00:00,1.33981,5,62.5,MEDIUM
