datetime,index,direction,entry,sl,erl,risk_pips,rr_to_erl,rr_achieved,win,ofl_probability,it_high,it_low,equilibrium,fvg_high,fvg_low
2024-12-16 14:20:00,85,1,1.26507,1.2644,1.26714,6.699999999999484,3.0895522388062324,-1.0,0,2,1.26653,1.26542,1.265975,1.26522,1.26507
2024-12-16 14:45:00,90,1,1.26356,1.26313,1.26714,4.299999999999304,8.32558139534999,8.32558139534999,1,2,1.26653,1.26475,1.2656399999999999,1.26413,1.26356
2024-12-16 14:45:00,90,1,1.26437,1.26354,1.26714,8.299999999998864,3.337349397590745,3.337349397590745,1,2,1.26653,1.26475,1.2656399999999999,1.26462,1.26437
2024-12-16 14:45:00,90,1,1.26437,1.26345,1.26714,9.200000000000319,3.0108695652172206,3.0108695652172206,1,2,1.26653,1.26475,1.2656399999999999,1.26462,1.26437
2024-12-16 20:40:00,161,1,1.26807,1.26752,1.26986,5.5000000000005045,3.25454545454508,-1.0,0,2,1.2686,1.26813,1.268365,1.26826,1.26807
2024-12-16 23:20:00,193,0,1.26875,1.26921,1.26772,4.599999999999049,2.2391304347832595,-1.0,0,2,1.26837,1.26825,1.26831,1.26875,1.26824
2024-12-17 01:25:00,218,1,1.26878,1.26844,1.2698,3.4000000000000696,3.0,-1.0,0,2,1.2693,1.26908,1.26919,1.26885,1.26878
2024-12-17 01:25:00,218,1,1.26887,1.26844,1.2698,4.299999999999304,2.162790697674995,-1.0,0,2,1.2693,1.26908,1.26919,1.26893,1.26887
2024-12-17 07:00:00,285,0,1.26824,1.26863,1.26657,3.8999999999989043,4.28205128205264,-1.0,0,2,1.26712,1.26657,1.266845,1.26824,1.26819
2024-12-17 07:00:00,285,0,1.26824,1.2686,1.26657,3.5999999999991594,4.63888888889014,-1.0,0,2,1.26712,1.26657,1.266845,1.26824,1.26819
2024-12-17 07:00:00,285,0,1.26746,1.26785,1.26657,3.8999999999989043,2.28205128205207,-1.0,0,2,1.26712,1.26657,1.266845,1.26746,1.26733
2024-12-17 07:10:00,287,0,1.26958,1.26996,1.26657,3.8000000000004697,7.921052631577855,-1.0,0,2,1.26946,1.26657,1.2680150000000001,1.26958,1.26954
2024-12-17 08:00:00,297,0,1.27013,1.27085,1.26657,7.200000000000539,4.944444444444085,-1.0,0,2,1.27052,1.26974,1.27013,1.27013,1.27007
2024-12-17 08:00:00,297,0,1.27013,1.27072,1.26657,5.9000000000009045,6.033898305083834,-1.0,0,2,1.27052,1.26974,1.27013,1.27013,1.27007
2024-12-17 08:40:00,305,0,1.26901,1.26971,1.26657,6.999999999999229,3.4857142857146663,-1.0,0,2,1.26951,1.26827,1.2688899999999999,1.26901,1.26898
2024-12-17 08:40:00,305,0,1.26872,1.26971,1.26657,9.899999999998244,2.1717171717176544,-1.0,0,2,1.26951,1.26827,1.2688899999999999,1.26872,1.26869
2024-12-17 10:20:00,325,1,1.26716,1.26637,1.27065,7.900000000000684,4.4177215189869505,4.4177215189869505,1,2,1.26851,1.26844,1.268475,1.26879,1.26716
2024-12-17 13:50:00,367,0,1.2699,1.27099,1.26704,10.900000000000354,2.623853211009167,-1.0,0,2,1.27079,1.26917,1.2699799999999999,1.2699,1.26983
2024-12-17 19:40:00,437,0,1.27152,1.27233,1.26836,8.099999999999774,3.9012345679014073,-1.0,0,2,1.27183,1.27092,1.271375,1.27152,1.2714
2024-12-17 19:40:00,437,0,1.27152,1.27203,1.26836,5.1000000000001044,6.1960784313725235,-1.0,0,2,1.27183,1.27092,1.271375,1.27152,1.2714
2024-12-17 20:40:00,449,1,1.27064,1.27003,1.27284,6.099999999999994,3.6065573770491506,-1.0,0,2,1.27119,1.27078,1.270985,1.27065,1.27064
2024-12-17 21:55:00,464,1,1.27081,1.2703900000000001,1.27284,4.199999999998649,4.833333333334831,-1.0,0,2,1.27144,1.27059,1.271015,1.27088,1.27081
2024-12-17 22:10:00,467,0,1.2712,1.2716399999999999,1.27025,4.399999999997739,2.159090909092033,2.159090909092033,1,2,1.27132,1.27063,1.270975,1.2712,1.27082
2024-12-17 22:10:00,467,0,1.2712,1.27152,1.27025,3.1999999999987594,2.968750000001171,2.968750000001171,1,2,1.27132,1.27063,1.270975,1.2712,1.27082
2024-12-18 00:15:00,492,0,1.2712,1.27153,1.27025,3.2999999999994145,2.878787878788409,2.878787878788409,1,2,1.27133,1.27065,1.27099,1.2712,1.27099
2024-12-18 15:50:00,679,1,1.26912,1.26828,1.27205,8.399999999999519,3.4880952380952914,-1.0,0,2,1.27055,1.26915,1.26985,1.26941,1.26912
2024-12-18 21:45:00,750,1,1.25782,1.25708,1.27181,7.399999999999629,18.90540540540658,-1.0,0,2,1.2585,1.25728,1.25789,1.2581,1.25782
2024-12-18 23:45:00,774,1,1.25678,1.25632,1.27181,4.599999999999049,32.67391304348523,-1.0,0,2,1.25729,1.25682,1.257055,1.25725,1.25678
2024-12-19 02:35:00,808,1,1.25864,1.25816,1.27181,4.8000000000003595,27.43749999999821,-1.0,0,2,1.25904,1.25836,1.2587,1.25874,1.25864
2024-12-19 03:50:00,823,0,1.25889,1.25934,1.25627,4.499999999998394,5.822222222224448,-1.0,0,2,1.25884,1.25851,1.258675,1.25889,1.25881
2024-12-19 11:05:00,910,0,1.2643,1.26525,1.25812,9.500000000000064,6.505263157894771,6.505263157894771,1,2,1.26505,1.26365,1.2643499999999999,1.2643,1.26424
2024-12-19 12:00:00,921,1,1.25988,1.25907,1.26666,8.100000000001994,8.370370370368045,-1.0,0,2,1.26403,1.26373,1.26388,1.25993,1.25988
2024-12-19 12:00:00,921,1,1.26224,1.26163,1.26666,6.099999999999994,7.245901639344053,-1.0,0,2,1.26403,1.26373,1.26388,1.26272,1.26224
2024-12-19 13:25:00,938,1,1.26088,1.25997,1.26666,9.099999999999664,6.351648351648472,-1.0,0,2,1.26207,1.26017,1.26112,1.26107,1.26088
2024-12-19 13:30:00,939,1,1.26008,1.25923,1.26666,8.500000000000174,7.741176470587851,-1.0,0,2,1.26207,1.26017,1.26112,1.26059,1.26008
2024-12-19 13:30:00,939,1,1.26008,1.2593,1.26666,7.800000000000029,8.435897435897157,-1.0,0,2,1.26207,1.26017,1.26112,1.26059,1.26008
2024-12-19 16:35:00,976,1,1.2549,1.25427,1.26666,6.299999999999084,18.666666666669368,-1.0,0,2,1.25629,1.2541,1.255195,1.25497,1.2549
2024-12-19 16:35:00,976,1,1.2549,1.2539,1.26666,9.999999999998899,11.760000000001288,-1.0,0,2,1.25629,1.2541,1.255195,1.25497,1.2549
2024-12-19 16:35:00,976,1,1.25524,1.2539,1.26666,13.399999999998968,8.522388059702138,-1.0,0,2,1.25629,1.2541,1.255195,1.25597,1.25524
2024-12-20 08:10:00,1163,0,1.24978,1.25048,1.2477,7.0000000000014495,2.9714285714277557,-1.0,0,2,1.25036,1.24914,1.24975,1.24978,1.24975
2024-12-20 08:10:00,1163,0,1.24978,1.25056,1.2477,7.800000000000029,2.666666666666477,-1.0,0,2,1.25036,1.24914,1.24975,1.24978,1.24975
2024-12-20 09:50:00,1183,0,1.25049,1.25179,1.2477,12.999999999998568,2.1461538461541365,-1.0,0,2,1.25017,1.24936,1.249765,1.25049,1.25041
2024-12-20 10:15:00,1188,0,1.25121,1.25193,1.2477,7.200000000000539,4.874999999999499,-1.0,0,2,1.25106,1.24936,1.25021,1.25121,1.25058
2024-12-20 10:15:00,1188,0,1.25121,1.25179,1.2477,5.800000000000249,6.051724137930606,-1.0,0,2,1.25106,1.24936,1.25021,1.25121,1.25058
2024-12-20 11:10:00,1199,1,1.24984,1.24916,1.25202,6.800000000000139,3.2058823529408884,3.2058823529408884,1,2,1.2511,1.25026,1.25068,1.25018,1.24984
