run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-14 03:00:00,BEARISH,1.36553,1.36644,,,9.10000,LOSS,-1.00000,2010-04-14 15:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-14 09:00:00,BEARISH,1.36431,1.36516,,,8.50000,LOSS,-1.00000,2010-04-14 15:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-14 14:00:00,BULLISH,1.36171,1.35986,,,18.50000,WIN,2.56000,2010-04-14 15:00:00,,,LOW,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-15 21:00:00,BEARISH,1.35798,1.35846,,,4.80000,WIN,13.10000,2010-04-16 06:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-20 04:00:00,BEARISH,1.34816,1.34887,,,7.10000,LOSS,-1.00000,2010-04-20 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-20 15:00:00,BULLISH,1.34431,1.34298,,,13.30000,LOSS,-1.00000,2010-04-20 17:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-29 13:00:00,BULLISH,1.32213,1.32066,,,14.70000,LOSS,-1.00000,2010-04-29 15:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-04-30 20:00:00,BEARISH,1.33096,1.33160,,,6.40000,WIN,14.06000,2010-05-03 01:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-06 02:00:00,BEARISH,1.28514,1.28539,,,2.50000,WIN,19.40000,2010-05-06 06:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-06 08:00:00,BEARISH,1.28103,1.28256,,,15.30000,WIN,4.86000,2010-05-06 11:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-07 16:00:00,BEARISH,1.27214,1.27701,,,48.70000,LOSS,-1.00000,2010-05-10 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-11 06:00:00,BULLISH,1.26861,1.26761,,,10.00000,LOSS,-1.00000,2010-05-11 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-13 04:00:00,BULLISH,1.26583,1.26366,,,21.70000,LOSS,-1.00000,2010-05-13 07:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-17 13:00:00,BEARISH,1.23684,1.24134,,,45.00000,LOSS,-1.00000,2010-05-18 07:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-20 15:00:00,BEARISH,1.23597,1.23878,,,28.10000,LOSS,-1.00000,2010-05-20 17:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-20 17:00:00,BEARISH,1.23732,1.23878,,,14.60000,LOSS,-1.00000,2010-05-20 18:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H1,OFL_CONTINUATION,EURUSD,H1,2010-05-20 23:00:00,BEARISH,1.24985,1.25408,,,42.30000,LOSS,-1.00000,2010-05-21 01:00:00,,,MEDIUM,,,,,,,,,,,,,
