run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-19 04:00:00,BEARISH,1.07761,1.07716,,,4.50000,LOSS,-1.00000,2022-04-19 04:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-19 10:45:00,BULLISH,1.07930,1.07846,,,8.40000,LOSS,-1.00000,2022-04-19 15:00:00,,,LOW,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-19 17:45:00,BULLISH,1.07917,1.07836,,,8.10000,LOSS,-1.00000,2022-04-19 18:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-20 14:15:00,BEARISH,1.08547,1.08641,,,9.40000,LOSS,-1.00000,2022-04-20 14:45:00,,,LOW,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-20 17:15:00,BULLISH,1.08417,1.08397,,,2.00000,LOSS,-1.00000,2022-04-20 21:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-20 19:45:00,BEARISH,1.08496,1.08510,,,1.40000,LOSS,-1.00000,2022-04-20 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-21 04:45:00,BULLISH,1.08312,1.08289,,,2.30000,WIN,10.09000,2022-04-21 06:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-21 10:15:00,BEARISH,1.09146,1.09216,,,7.00000,WIN,13.03000,2022-04-22 07:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-22 02:45:00,BEARISH,1.08421,1.08445,,,2.40000,WIN,4.29000,2022-04-22 03:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-22 09:45:00,BULLISH,1.08016,1.07973,,,4.30000,LOSS,-1.00000,2022-04-22 14:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | M15,OFL_CONTINUATION,EURUSD,M15,2022-04-22 13:00:00,BEARISH,1.08394,1.08448,,,5.40000,WIN,9.11000,2022-04-22 14:30:00,,,MEDIUM,,,,,,,,,,,,,
