run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-12 09:00:00,BEARISH,1.54505,1.54625,,,12.00000,LOSS,-1.00000,2010-04-14 14:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-12 19:00:00,BULLISH,1.53715,1.53600,,,11.50000,LOSS,-1.00000,2010-04-12 21:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-13 08:00:00,BULLISH,1.53535,1.53470,,,6.50000,WIN,20.23000,2010-04-14 15:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-16 13:00:00,BULLISH,1.54170,1.54305,,,13.50000,LOSS,-1.00000,2010-04-16 14:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-19 02:00:00,BULLISH,1.52830,1.52405,,,42.50000,LOSS,-1.00000,2010-04-19 05:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-19 15:00:00,BULLISH,1.52750,1.52570,,,18.00000,LOSS,-1.00000,2010-04-27 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-21 11:00:00,BULLISH,1.53935,1.53710,,,22.50000,WIN,2.02000,2010-04-22 05:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-22 06:00:00,BEARISH,1.54430,1.54730,,,30.00000,WIN,3.73000,2010-04-22 23:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-22 20:00:00,BULLISH,1.53760,1.53640,,,12.00000,LOSS,-1.00000,2010-04-22 23:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-22 21:00:00,BEARISH,1.53850,1.53975,,,12.50000,WIN,3.48000,2010-04-22 23:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-23 08:00:00,BULLISH,1.53460,1.53350,,,11.00000,LOSS,-1.00000,2010-04-23 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-23 10:00:00,BEARISH,1.53740,1.53810,,,7.00000,WIN,8.43000,2010-04-23 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-23 15:00:00,BEARISH,1.53490,1.53755,,,26.50000,LOSS,-1.00000,2010-04-23 18:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H1,OFL_CONTINUATION,GBPUSD,H1,2010-04-30 14:00:00,BULLISH,1.52765,1.52530,,,23.50000,LOSS,-1.00000,2010-05-03 01:00:00,,,MEDIUM,,,,,,,,,,,,,
