run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-04-20 04:00:00,BULLISH,1.53215,1.52890,,,32.50000,LOSS,-1.00000,2010-04-27 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-04-21 00:00:00,BULLISH,1.53420,1.53310,,,11.00000,WIN,8.18000,2010-04-21 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-04-27 00:00:00,BEARISH,1.54230,1.54830,,,60.00000,WIN,2.16000,2010-04-27 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-05-11 04:00:00,BEARISH,1.47750,1.48745,,,99.50000,LOSS,-1.00000,2010-05-11 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-05-19 20:00:00,BEARISH,1.44050,1.44655,,,60.50000,WIN,2.77000,2010-05-20 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-05-24 16:00:00,BEARISH,1.44535,1.44645,,,11.00000,LOSS,-1.00000,2010-05-27 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-05-26 04:00:00,BULLISH,1.43660,1.43295,,,36.50000,WIN,4.42000,2010-05-27 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-06-07 16:00:00,BULLISH,1.44610,1.44570,,,4.00000,LOSS,-1.00000,2010-06-08 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-06-22 20:00:00,BULLISH,1.48295,1.48020,,,27.50000,WIN,3.87000,2010-06-23 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-06-29 12:00:00,BEARISH,1.50820,1.51050,,,23.00000,WIN,3.04000,2010-06-30 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-07-06 04:00:00,BEARISH,1.51700,1.52070,,,37.00000,LOSS,-1.00000,2010-07-06 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-07-09 00:00:00,BULLISH,1.51495,1.51315,,,18.00000,LOSS,-1.00000,2010-07-09 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-07-13 12:00:00,BEARISH,1.51410,1.51910,,,50.00000,LOSS,-1.00000,2010-07-13 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-07-20 12:00:00,BULLISH,1.52380,1.51530,,,85.00000,LOSS,-1.00000,2010-07-21 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-07-21 12:00:00,BULLISH,1.51835,1.51855,,,2.00000,LOSS,-1.00000,2010-07-21 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-07-30 08:00:00,BULLISH,1.55770,1.55510,,,26.00000,WIN,3.27000,2010-07-30 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-10 00:00:00,BULLISH,1.57990,1.57735,,,25.50000,LOSS,-1.00000,2010-08-10 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-10 08:00:00,BULLISH,1.57340,1.57735,,,39.50000,LOSS,-1.00000,2010-08-10 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-11 12:00:00,BULLISH,1.56345,1.56280,,,6.50000,LOSS,-1.00000,2010-08-11 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-13 08:00:00,BULLISH,1.55950,1.55730,,,22.00000,LOSS,-1.00000,2010-08-16 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-23 12:00:00,BULLISH,1.55435,1.54995,,,44.00000,LOSS,-1.00000,2010-08-23 20:00:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-26 00:00:00,BEARISH,1.54840,1.54705,,,13.50000,LOSS,-1.00000,2010-08-26 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-27 08:00:00,BEARISH,1.55080,1.55430,,,35.00000,LOSS,-1.00000,2010-08-30 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-08-30 08:00:00,BEARISH,1.55630,1.55755,,,12.50000,WIN,9.72000,2010-08-31 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-09-01 08:00:00,BULLISH,1.53550,1.53370,,,18.00000,LOSS,-1.00000,2010-09-07 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-09-01 12:00:00,BEARISH,1.54525,1.54910,,,38.50000,WIN,3.29000,2010-09-07 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-09-03 12:00:00,BEARISH,1.54278,1.54665,,,38.70000,LOSS,-1.00000,2010-09-03 20:00:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-09-07 16:00:00,BEARISH,1.53530,1.53755,,,22.50000,LOSS,-1.00000,2010-09-08 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-09-09 12:00:00,BEARISH,1.54490,1.54770,,,28.00000,LOSS,-1.00000,2010-09-13 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-01 08:00:00,BEARISH,1.58505,1.58725,,,22.00000,LOSS,-1.00000,2010-10-05 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-07 16:00:00,BULLISH,1.58755,1.58260,,,49.50000,LOSS,-1.00000,2010-10-08 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-11 16:00:00,BULLISH,1.58885,1.58675,,,21.00000,LOSS,-1.00000,2010-10-12 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-13 12:00:00,BULLISH,1.58280,1.58055,,,22.50000,WIN,6.09000,2010-10-14 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-18 16:00:00,BEARISH,1.59150,1.59420,,,27.00000,WIN,5.93000,2010-10-19 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-21 04:00:00,BULLISH,1.57550,1.57275,,,27.50000,LOSS,-1.00000,2010-10-21 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-26 08:00:00,BEARISH,1.58320,1.58956,,,63.60000,LOSS,-1.00000,2010-10-28 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-26 12:00:00,BEARISH,1.58630,1.58956,,,32.60000,LOSS,-1.00000,2010-10-28 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | H4,OFL_CONTINUATION,GBPUSD,H4,2010-10-27 16:00:00,BULLISH,1.57474,1.57300,,,17.40000,WIN,8.52000,2010-10-28 12:00:00,,,MEDIUM,,,,,,,,,,,,,
