run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-18 01:45:00,BEARISH,1.30514,1.30526,,,1.20000,WIN,13.67000,2022-04-18 03:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-18 14:15:00,BULLISH,1.30276,1.30230,,,4.60000,LOSS,-1.00000,2022-04-18 14:30:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-18 14:30:00,BULLISH,1.30247,1.30230,,,1.70000,LOSS,-1.00000,2022-04-18 14:45:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-18 14:45:00,BULLISH,1.30196,1.30135,,,6.10000,LOSS,-1.00000,2022-04-18 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-18 20:15:00,BEARISH,1.30103,1.30127,,,2.40000,LOSS,-1.00000,2022-04-18 20:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-19 06:00:00,BULLISH,1.29948,1.29884,,,6.40000,WIN,2.28000,2022-04-19 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-19 13:30:00,BULLISH,1.29984,1.29804,,,18.00000,WIN,2.34000,2022-04-20 03:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-19 18:45:00,BEARISH,1.29990,1.30015,,,2.50000,LOSS,-1.00000,2022-04-19 19:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 03:15:00,BEARISH,1.30360,1.30452,,,9.20000,WIN,2.75000,2022-04-20 07:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 03:30:00,BEARISH,1.30427,1.30452,,,2.50000,WIN,12.80000,2022-04-20 07:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 07:45:00,BULLISH,1.30087,1.30104,,,1.70000,LOSS,-1.00000,2022-04-20 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 08:00:00,BULLISH,1.30005,1.29961,,,4.40000,WIN,10.16000,2022-04-20 10:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 13:30:00,BEARISH,1.30594,1.30653,,,5.90000,LOSS,-1.00000,2022-04-20 18:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 15:45:00,BEARISH,1.30507,1.30586,,,7.90000,LOSS,-1.00000,2022-04-20 16:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 19:45:00,BEARISH,1.30610,1.30652,,,4.20000,LOSS,-1.00000,2022-04-20 20:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-20 21:15:00,BULLISH,1.30564,1.30504,,,6.00000,WIN,2.10000,2022-04-20 22:45:00,,,LOW,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-21 00:45:00,BULLISH,1.30492,1.30466,,,2.60000,LOSS,-1.00000,2022-04-21 02:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | GBPUSD | M15,OFL_CONTINUATION,GBPUSD,M15,2022-04-21 06:00:00,BULLISH,1.30522,1.30492,,,3.00000,WIN,7.07000,2022-04-21 06:30:00,,,MEDIUM,,,,,,,,,,,,,
