run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-08-17 22:00:00,BULLISH,933.98200,931.93800,,,20.44000,WIN,6.93000,2009-08-21 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-08-20 07:00:00,BULLISH,942.28100,941.78600,,,4.95000,LOSS,-1.00000,2009-08-20 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-08-20 17:00:00,BULLISH,940.30800,939.23900,,,10.69000,LOSS,-1.00000,2009-08-20 21:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-08-24 17:00:00,BULLISH,941.34800,939.74800,,,16.00000,LOSS,-1.00000,2009-08-26 13:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-08-25 10:00:00,BULLISH,946.60500,945.22800,,,13.77000,LOSS,-1.00000,2009-08-25 14:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-08-31 12:00:00,BULLISH,944.50800,944.26400,,,2.44000,WIN,25.00000,2009-08-31 14:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-01 17:00:00,BEARISH,952.87200,955.66100,,,27.89000,LOSS,-1.00000,2009-09-01 19:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-08 16:00:00,BULLISH,997.58800,993.14700,,,44.41000,LOSS,-1.00000,2009-09-08 19:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-08 19:00:00,BULLISH,995.30300,992.51500,,,27.88000,LOSS,-1.00000,2009-09-09 10:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-08 20:00:00,BULLISH,994.14400,992.51500,,,16.29000,LOSS,-1.00000,2009-09-09 10:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-10 13:00:00,BEARISH,990.99900,992.14600,,,11.47000,LOSS,-1.00000,2009-09-10 14:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-10 16:00:00,BEARISH,995.62600,992.14600,,,34.80000,LOSS,-1.00000,2009-09-10 17:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-14 06:00:00,BULLISH,999.74000,996.23700,,,35.03000,LOSS,-1.00000,2009-09-14 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-17 10:00:00,BULLISH,1019.45600,1018.02900,,,14.27000,LOSS,-1.00000,2009-09-17 11:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-21 03:00:00,BULLISH,1003.39800,998.81000,,,45.88000,LOSS,-1.00000,2009-09-21 05:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-21 05:00:00,BULLISH,998.87700,998.71900,,,1.58000,WIN,25.00000,2009-09-21 06:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-24 09:00:00,BEARISH,1014.58800,1014.77100,,,1.83000,LOSS,-1.00000,2009-09-24 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-28 09:00:00,BEARISH,990.40300,992.10100,,,16.98000,LOSS,-1.00000,2009-09-28 11:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-29 13:00:00,BEARISH,990.79400,992.73500,,,19.41000,LOSS,-1.00000,2009-09-29 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H1,OFL_CONTINUATION,XAUUSD,H1,2009-09-29 14:00:00,BEARISH,991.03700,992.73500,,,16.98000,LOSS,-1.00000,2009-09-29 16:00:00,,,MEDIUM,,,,,,,,,,,,,
