run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-08-19 12:00:00,BULLISH,938.93500,932.08000,,,68.55000,WIN,3.05000,2009-08-31 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-08-24 16:00:00,BULLISH,941.88200,939.74800,,,21.34000,LOSS,-1.00000,2009-08-26 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-08-27 12:00:00,BULLISH,945.58500,941.63400,,,39.51000,WIN,2.77000,2009-08-28 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-08-28 08:00:00,BEARISH,951.82900,950.30300,,,15.26000,LOSS,-1.00000,2009-08-28 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-09-09 12:00:00,BEARISH,999.49800,1001.67400,,,21.76000,LOSS,-1.00000,2009-09-11 04:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-09-11 12:00:00,BEARISH,1002.62400,1010.76800,,,81.44000,LOSS,-1.00000,2009-09-16 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-09-14 08:00:00,BULLISH,996.81100,993.18100,,,36.30000,WIN,3.84000,2009-09-16 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-09-14 16:00:00,BULLISH,999.20100,996.03600,,,31.65000,LOSS,-1.00000,2009-09-15 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-09-30 20:00:00,BEARISH,1006.31000,1009.48300,,,31.73000,LOSS,-1.00000,2009-10-05 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-10-01 00:00:00,BEARISH,1005.85900,1009.48300,,,36.24000,LOSS,-1.00000,2009-10-05 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-10-09 12:00:00,BEARISH,1049.36800,1051.75900,,,23.91000,LOSS,-1.00000,2009-10-12 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-10-09 16:00:00,BULLISH,1043.39500,1043.04200,,,3.53000,WIN,25.00000,2009-10-12 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-10-14 16:00:00,BEARISH,1065.73800,1066.42900,,,6.91000,WIN,25.00000,2009-10-15 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-10-20 08:00:00,BEARISH,1060.85600,1067.23700,,,63.81000,WIN,2.81000,2009-10-26 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-10-27 12:00:00,BULLISH,1039.17600,1031.73100,,,74.45000,LOSS,-1.00000,2009-10-28 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-11-10 04:00:00,BULLISH,1100.66300,1096.31800,,,43.45000,WIN,2.21000,2009-11-11 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-12-04 04:00:00,BEARISH,1208.25600,1211.63700,,,33.81000,WIN,20.33000,2009-12-07 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-12-09 12:00:00,BEARISH,1142.82800,1146.22900,,,34.01000,WIN,5.39000,2009-12-09 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-12-14 08:00:00,BULLISH,1117.77900,1115.31500,,,24.64000,LOSS,-1.00000,2009-12-15 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2009-12-24 08:00:00,BEARISH,1103.02600,1105.36300,,,23.37000,LOSS,-1.00000,2009-12-28 00:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-01-21 16:00:00,BULLISH,1098.62300,1089.16200,,,94.61000,LOSS,-1.00000,2010-01-22 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-01-21 20:00:00,BULLISH,1096.24000,1089.16200,,,70.78000,LOSS,-1.00000,2010-01-22 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-01-27 04:00:00,BEARISH,1095.46400,1101.85200,,,63.88000,WIN,2.13000,2010-01-28 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-02-10 12:00:00,BULLISH,1065.16500,1062.83500,,,23.30000,WIN,7.53000,2010-02-11 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-02-17 12:00:00,BEARISH,1116.62100,1126.65000,,,100.29000,LOSS,-1.00000,2010-02-22 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-02-17 16:00:00,BEARISH,1111.71100,1126.65000,,,149.39000,LOSS,-1.00000,2010-02-22 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-02-23 16:00:00,BULLISH,1105.71500,1099.01300,,,67.02000,LOSS,-1.00000,2010-02-24 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-02-26 16:00:00,BEARISH,1117.77100,1118.40000,,,6.29000,LOSS,-1.00000,2010-03-01 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-03-02 16:00:00,BEARISH,1133.09400,1137.11800,,,40.24000,LOSS,-1.00000,2010-03-03 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-03-04 08:00:00,BEARISH,1138.19500,1140.96700,,,27.72000,WIN,9.55000,2010-03-09 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-03-05 20:00:00,BULLISH,1132.80100,1131.08100,,,17.20000,LOSS,-1.00000,2010-03-08 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-03-08 16:00:00,BULLISH,1118.52000,1118.17100,,,3.49000,LOSS,-1.00000,2010-03-09 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-03-23 08:00:00,BULLISH,1102.27800,1094.22200,,,80.56000,LOSS,-1.00000,2010-03-24 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-03-23 16:00:00,BEARISH,1104.89500,1107.31400,,,24.19000,WIN,5.11000,2010-03-24 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-03-31 00:00:00,BULLISH,1105.52300,1101.50200,,,40.21000,WIN,2.13000,2010-03-31 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-04-05 00:00:00,BEARISH,1124.49700,1127.14200,,,26.45000,LOSS,-1.00000,2010-04-05 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-04-23 08:00:00,BULLISH,1140.75900,1137.53000,,,32.29000,LOSS,-1.00000,2010-04-23 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-05-18 08:00:00,BULLISH,1208.60800,1206.32100,,,22.87000,LOSS,-1.00000,2010-05-19 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-05-24 16:00:00,BEARISH,1194.43200,1196.42100,,,19.89000,LOSS,-1.00000,2010-05-25 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-05-28 12:00:00,BULLISH,1205.26600,1201.74500,,,35.21000,WIN,3.55000,2010-06-01 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-06-03 08:00:00,BULLISH,1221.02700,1220.25100,,,7.76000,LOSS,-1.00000,2010-06-03 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-06-04 08:00:00,BULLISH,1200.01500,1196.60500,,,34.10000,WIN,8.23000,2010-06-07 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-06-14 12:00:00,BULLISH,1227.64000,1216.16300,,,114.77000,WIN,2.04000,2010-06-18 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-06-14 16:00:00,BULLISH,1221.24100,1216.16300,,,50.78000,WIN,5.87000,2010-06-18 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-06-25 16:00:00,BEARISH,1255.57500,1257.66600,,,20.91000,LOSS,-1.00000,2010-06-28 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-07-02 12:00:00,BULLISH,1203.21700,1200.91000,,,23.07000,LOSS,-1.00000,2010-07-06 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-07-06 08:00:00,BEARISH,1210.48100,1212.93400,,,24.53000,WIN,5.80000,2010-07-06 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-07-14 16:00:00,BULLISH,1203.90800,1202.39700,,,15.11000,LOSS,-1.00000,2010-07-16 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-07-30 16:00:00,BEARISH,1181.87300,1182.89500,,,10.22000,LOSS,-1.00000,2010-08-02 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-08-06 12:00:00,BEARISH,1205.60500,1210.45900,,,48.54000,LOSS,-1.00000,2010-08-12 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-08-20 12:00:00,BULLISH,1223.80800,1221.93200,,,18.76000,LOSS,-1.00000,2010-08-23 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-08-23 12:00:00,BULLISH,1224.91600,1221.30700,,,36.09000,LOSS,-1.00000,2010-08-24 00:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-08-24 00:00:00,BULLISH,1220.33000,1221.30700,,,9.77000,LOSS,-1.00000,2010-08-24 04:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-09-02 08:00:00,BULLISH,1247.57500,1244.74600,,,28.29000,LOSS,-1.00000,2010-09-03 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-09-07 08:00:00,BULLISH,1246.82900,1244.05500,,,27.74000,WIN,2.41000,2010-09-07 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-09-21 04:00:00,BULLISH,1274.57800,1276.55700,,,19.79000,LOSS,-1.00000,2010-09-21 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-10-04 20:00:00,BULLISH,1312.39200,1311.57400,,,8.18000,WIN,9.00000,2010-10-05 04:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-10-20 12:00:00,BULLISH,1334.89500,1332.46800,,,24.27000,LOSS,-1.00000,2010-10-21 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-10-25 04:00:00,BEARISH,1342.88400,1348.56300,,,56.79000,LOSS,-1.00000,2010-10-29 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-10-28 12:00:00,BEARISH,1338.68000,1345.11800,,,64.38000,LOSS,-1.00000,2010-10-29 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-11-01 08:00:00,BEARISH,1364.02500,1365.16800,,,11.43000,WIN,25.00000,2010-11-03 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-11-01 12:00:00,BULLISH,1352.24900,1348.73500,,,35.14000,LOSS,-1.00000,2010-11-03 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-11-09 20:00:00,BULLISH,1393.98200,1383.03600,,,109.46000,LOSS,-1.00000,2010-11-12 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-11-12 16:00:00,BULLISH,1365.70700,1359.71800,,,59.89000,LOSS,-1.00000,2010-11-15 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-11-18 08:00:00,BEARISH,1355.36600,1358.49700,,,31.31000,LOSS,-1.00000,2010-11-18 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-11-18 12:00:00,BULLISH,1350.67100,1346.82100,,,38.50000,LOSS,-1.00000,2010-11-19 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-11-26 12:00:00,BULLISH,1353.68700,1350.85100,,,28.36000,WIN,10.12000,2010-11-30 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-12-08 00:00:00,BULLISH,1392.94600,1388.13700,,,48.09000,LOSS,-1.00000,2010-12-08 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-12-08 12:00:00,BULLISH,1387.59700,1371.42800,,,161.69000,LOSS,-1.00000,2010-12-16 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-12-09 00:00:00,BULLISH,1386.90800,1371.42800,,,154.80000,LOSS,-1.00000,2010-12-16 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-12-10 12:00:00,BULLISH,1388.68000,1371.95000,,,167.30000,LOSS,-1.00000,2010-12-16 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-12-14 08:00:00,BEARISH,1406.90300,1407.93400,,,10.31000,WIN,25.00000,2010-12-15 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-12-17 16:00:00,BULLISH,1371.94000,1364.76400,,,71.76000,WIN,5.02000,2010-12-29 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2010-12-20 04:00:00,BEARISH,1384.40500,1388.03400,,,36.29000,LOSS,-1.00000,2010-12-21 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-01-27 08:00:00,BEARISH,1341.31600,1347.90900,,,65.93000,WIN,2.80000,2011-01-27 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-02-01 00:00:00,BEARISH,1337.39300,1337.25700,,,1.36000,LOSS,-1.00000,2011-02-01 04:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-02-22 08:00:00,BULLISH,1396.19600,1392.76600,,,34.30000,WIN,4.24000,2011-02-23 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-02-22 16:00:00,BEARISH,1401.43600,1406.37900,,,49.43000,LOSS,-1.00000,2011-02-23 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-02-25 08:00:00,BULLISH,1401.26700,1399.71400,,,15.53000,WIN,10.88000,2011-03-01 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-03-08 04:00:00,BULLISH,1431.54000,1425.53800,,,60.02000,LOSS,-1.00000,2011-03-08 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-03-09 16:00:00,BULLISH,1428.08800,1424.57500,,,35.13000,LOSS,-1.00000,2011-03-10 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-03-09 20:00:00,BULLISH,1430.71200,1424.57500,,,61.37000,LOSS,-1.00000,2011-03-10 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-03-21 16:00:00,BEARISH,1425.51800,1434.80400,,,92.86000,LOSS,-1.00000,2011-03-23 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-03-22 12:00:00,BULLISH,1419.82000,1419.45800,,,3.62000,WIN,25.00000,2011-03-23 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-03-24 16:00:00,BULLISH,1429.59000,1423.82100,,,57.69000,LOSS,-1.00000,2011-03-25 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-04-05 08:00:00,BULLISH,1431.07700,1429.83300,,,12.44000,WIN,6.75000,2011-04-05 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-04-07 04:00:00,BULLISH,1454.42200,1452.55800,,,18.64000,WIN,4.17000,2011-04-07 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-04-14 08:00:00,BULLISH,1458.04100,1452.27600,,,57.65000,WIN,3.16000,2011-04-14 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-04-27 12:00:00,BULLISH,1503.88400,1503.02300,,,8.61000,WIN,16.53000,2011-04-27 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-05-03 16:00:00,BULLISH,1534.57300,1526.98500,,,75.88000,LOSS,-1.00000,2011-05-04 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-05-04 16:00:00,BULLISH,1508.70700,1506.03100,,,26.76000,LOSS,-1.00000,2011-05-05 08:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-05-09 00:00:00,BEARISH,1496.14900,1498.28400,,,21.35000,LOSS,-1.00000,2011-05-09 04:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-05-12 08:00:00,BULLISH,1478.77200,1478.34400,,,4.28000,WIN,25.00000,2011-05-12 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-06-01 12:00:00,BEARISH,1550.16400,1550.39000,,,2.26000,WIN,25.00000,2011-06-01 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-06-17 00:00:00,BEARISH,1528.55500,1530.44600,,,18.91000,LOSS,-1.00000,2011-06-17 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-07-05 00:00:00,BEARISH,1497.68200,1498.06600,,,3.84000,LOSS,-1.00000,2011-07-05 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-07-29 00:00:00,BEARISH,1615.97000,1618.39700,,,24.27000,LOSS,-1.00000,2011-07-29 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | H4,OFL_CONTINUATION,XAUUSD,H4,2011-08-01 20:00:00,BULLISH,1620.35500,1616.37000,,,39.85000,WIN,3.05000,2011-08-02 12:00:00,,,MEDIUM,,,,,,,,,,,,,
