run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-26 12:45:00,BEARISH,1846.19800,1847.11800,,,9.20000,LOSS,-1.00000,2022-01-26 13:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-26 13:00:00,BULLISH,1845.23800,1844.60800,,,6.30000,WIN,3.91000,2022-01-26 13:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-27 04:15:00,BEARISH,1815.68800,1816.35800,,,6.70000,WIN,4.15000,2022-01-27 05:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-28 02:30:00,BULLISH,1797.55800,1797.42800,,,1.30000,LOSS,-1.00000,2022-01-28 05:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-31 08:30:00,BEARISH,1790.58800,1792.34800,,,17.60000,LOSS,-1.00000,2022-01-31 09:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-31 10:00:00,BULLISH,1789.57800,1788.29800,,,12.80000,WIN,2.19000,2022-01-31 11:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-31 11:30:00,BULLISH,1790.21800,1789.37800,,,8.40000,WIN,2.57000,2022-01-31 11:45:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-31 13:45:00,BEARISH,1795.62800,1798.14800,,,25.20000,LOSS,-1.00000,2022-01-31 14:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-31 14:00:00,BEARISH,1795.95800,1798.14800,,,21.90000,LOSS,-1.00000,2022-01-31 14:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-31 14:15:00,BEARISH,1796.58800,1798.14800,,,15.60000,LOSS,-1.00000,2022-01-31 14:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-01-31 20:45:00,BEARISH,1798.20500,1799.64800,,,14.43000,LOSS,-1.00000,2022-02-01 05:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-01 01:45:00,BULLISH,1797.36800,1796.60800,,,7.60000,LOSS,-1.00000,2022-02-01 02:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-01 18:15:00,BULLISH,1800.69800,1800.59800,,,1.00000,LOSS,-1.00000,2022-02-01 18:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-01 20:00:00,BULLISH,1799.41800,1798.48800,,,9.30000,LOSS,-1.00000,2022-02-02 02:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-02 04:15:00,BULLISH,1798.30800,1797.20800,,,11.00000,LOSS,-1.00000,2022-02-02 05:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-02 06:30:00,BULLISH,1796.84800,1796.45800,,,3.90000,WIN,5.22000,2022-02-02 07:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-02 14:00:00,BULLISH,1801.21800,1800.46500,,,7.53000,WIN,8.96000,2022-02-02 15:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-03 04:30:00,BULLISH,1806.80800,1806.01800,,,7.90000,LOSS,-1.00000,2022-02-03 05:30:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-03 11:30:00,BEARISH,1804.45800,1805.01800,,,5.60000,WIN,3.29000,2022-02-03 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-03 13:00:00,BULLISH,1800.53500,1799.86800,,,6.67000,WIN,6.72000,2022-02-03 14:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-03 20:00:00,BEARISH,1805.79800,1806.29800,,,5.00000,LOSS,-1.00000,2022-02-03 23:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-04 00:00:00,BULLISH,1805.35800,1804.85800,,,5.00000,WIN,2.40000,2022-02-04 01:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-04 00:15:00,BULLISH,1805.00800,1804.85800,,,1.50000,WIN,10.33000,2022-02-04 01:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-04 04:45:00,BULLISH,1806.81800,1806.31500,,,5.03000,LOSS,-1.00000,2022-02-04 05:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-07 01:00:00,BEARISH,1812.54800,1815.20800,,,26.60000,LOSS,-1.00000,2022-02-07 13:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-07 04:00:00,BULLISH,1809.98800,1809.57800,,,4.10000,LOSS,-1.00000,2022-02-07 05:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-07 08:15:00,BULLISH,1810.37900,1809.93800,,,4.41000,WIN,8.34000,2022-02-07 12:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-08 06:00:00,BULLISH,1819.72800,1819.40800,,,3.20000,LOSS,-1.00000,2022-02-08 06:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-08 09:45:00,BEARISH,1818.65400,1819.90400,,,12.50000,LOSS,-1.00000,2022-02-08 10:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-08 11:15:00,BULLISH,1818.28400,1817.28800,,,9.96000,LOSS,-1.00000,2022-02-08 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-08 20:15:00,BEARISH,1827.31800,1827.71800,,,4.00000,LOSS,-1.00000,2022-02-09 02:15:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-09 02:00:00,BEARISH,1827.07400,1826.66900,,,4.05000,LOSS,-1.00000,2022-02-09 02:15:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-09 02:45:00,BULLISH,1826.45900,1826.32800,,,1.31000,WIN,16.83000,2022-02-09 05:45:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-09 12:30:00,BULLISH,1826.61800,1826.08800,,,5.30000,WIN,3.18000,2022-02-09 12:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-10 10:30:00,BEARISH,1832.16800,1833.07800,,,9.10000,LOSS,-1.00000,2022-02-10 10:45:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-10 12:15:00,BULLISH,1831.96800,1832.13800,,,1.70000,LOSS,-1.00000,2022-02-10 12:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-10 12:30:00,BULLISH,1830.71400,1830.54800,,,1.66000,LOSS,-1.00000,2022-02-10 13:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-10 19:45:00,BULLISH,1829.09800,1831.93200,,,28.34000,LOSS,-1.00000,2022-02-10 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-10 21:45:00,BULLISH,1827.42800,1825.55400,,,18.74000,LOSS,-1.00000,2022-02-11 00:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-11 05:15:00,BEARISH,1824.81800,1825.26400,,,4.46000,WIN,2.65000,2022-02-11 05:30:00,,,LOW,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-14 09:15:00,BULLISH,1854.56800,1853.42800,,,11.40000,LOSS,-1.00000,2022-02-14 12:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-14 21:30:00,BULLISH,1870.50800,1869.78800,,,7.20000,WIN,4.87000,2022-02-15 02:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-15 14:15:00,BEARISH,1854.27400,1857.03400,,,27.60000,LOSS,-1.00000,2022-02-16 08:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-16 02:30:00,BEARISH,1852.83800,1852.94800,,,1.10000,LOSS,-1.00000,2022-02-16 04:15:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-16 12:45:00,BULLISH,1852.03800,1851.33800,,,7.00000,WIN,6.20000,2022-02-16 13:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-16 14:30:00,BEARISH,1864.25800,1864.75800,,,5.00000,LOSS,-1.00000,2022-02-16 16:30:00,,,MEDIUM,,,,,,,,,,,,,
S1 | XAUUSD | M15,OFL_CONTINUATION,XAUUSD,M15,2022-02-17 01:00:00,BEARISH,1870.61800,1871.65800,,,10.40000,LOSS,-1.00000,2022-02-17 03:45:00,,,MEDIUM,,,,,,,,,,,,,
