run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-02-24 21:00:00,BULLISH,1.17744,1.17659,1.17914,1.17930,8.50000,WIN,2.19000,2026-02-25 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-03-10 20:00:00,BULLISH,1.16167,1.16049,1.16403,1.16635,11.80000,LOSS,-1.00000,2026-03-10 22:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-03-10 21:00:00,BULLISH,1.16167,1.16049,1.16403,1.16635,11.80000,LOSS,-1.00000,2026-03-10 22:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-03-10 23:00:00,BULLISH,1.16167,1.16049,1.16403,1.16639,11.80000,LOSS,-1.00000,2026-03-11 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-03-11 10:00:00,BULLISH,1.16167,1.16049,1.16403,1.16639,11.80000,LOSS,-1.00000,2026-03-11 11:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-03-19 12:00:00,BEARISH,1.14901,1.14932,1.14839,1.14777,3.10000,LOSS,-1.00000,2026-03-19 13:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-03-24 22:00:00,BEARISH,1.16161,1.16196,1.16091,1.16021,3.50000,LOSS,-1.00000,2026-03-25 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-04-13 12:00:00,BEARISH,1.16966,1.17020,1.16858,1.16750,5.40000,LOSS,-1.00000,2026-04-13 13:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-04-14 19:00:00,BULLISH,1.17903,1.17856,1.17997,1.18091,4.70000,LOSS,-1.00000,2026-04-15 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-04-14 21:00:00,BULLISH,1.17903,1.17856,1.17997,1.18091,4.70000,LOSS,-1.00000,2026-04-15 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-04-15 01:00:00,BULLISH,1.17903,1.17868,1.17973,1.18043,3.50000,LOSS,-1.00000,2026-04-15 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | H1,FVA_IDEAL,EURUSD,H1,2026-04-15 05:00:00,BULLISH,1.17903,1.17868,1.17973,1.18043,3.50000,LOSS,-1.00000,2026-04-15 06:00:00,,,MEDIUM,,,,,,,,,,,,,
