run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-09 08:30:00,BEARISH,1.16673,1.16712,1.16595,1.16541,3.90000,LOSS,-1.00000,2026-04-09 08:45:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-15 05:00:00,BEARISH,1.17966,1.17988,1.17922,1.17878,2.20000,LOSS,-1.00000,2026-04-15 06:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-15 05:15:00,BEARISH,1.17966,1.17988,1.17922,1.17878,2.20000,LOSS,-1.00000,2026-04-15 06:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-15 05:45:00,BEARISH,1.17966,1.17988,1.17922,1.17878,2.20000,LOSS,-1.00000,2026-04-15 06:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-15 06:00:00,BEARISH,1.17966,1.17988,1.17922,1.17878,2.20000,WIN,4.00000,2026-04-15 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-15 20:30:00,BULLISH,1.17926,1.17905,1.17968,1.18010,2.10000,WIN,4.00000,2026-04-15 21:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-15 21:00:00,BULLISH,1.17926,1.17905,1.17968,1.18010,2.10000,WIN,4.00000,2026-04-15 21:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-16 06:00:00,BULLISH,1.18026,1.17947,1.18184,1.18238,7.90000,LOSS,-1.00000,2026-04-16 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-16 06:15:00,BULLISH,1.18026,1.17947,1.18184,1.18238,7.90000,LOSS,-1.00000,2026-04-16 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-16 06:30:00,BULLISH,1.18026,1.17947,1.18184,1.18238,7.90000,LOSS,-1.00000,2026-04-16 07:15:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-16 07:00:00,BULLISH,1.18026,1.17947,1.18184,1.18238,7.90000,LOSS,-1.00000,2026-04-16 07:15:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-16 07:15:00,BULLISH,1.18026,1.17947,1.18184,1.18238,7.90000,LOSS,-1.00000,2026-04-16 07:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-16 23:30:00,BEARISH,1.17857,1.17891,1.17789,1.17740,3.40000,WIN,3.44000,2026-04-17 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-17 03:45:00,BEARISH,1.17857,1.17891,1.17789,1.17728,3.40000,WIN,3.79000,2026-04-17 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-17 04:00:00,BEARISH,1.17857,1.17891,1.17789,1.17728,3.40000,WIN,3.79000,2026-04-17 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-17 04:15:00,BEARISH,1.17857,1.17891,1.17789,1.17728,3.40000,WIN,3.79000,2026-04-17 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-17 04:30:00,BEARISH,1.17857,1.17891,1.17789,1.17728,3.40000,WIN,3.79000,2026-04-17 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-17 04:45:00,BEARISH,1.17857,1.17891,1.17789,1.17728,3.40000,WIN,3.79000,2026-04-17 06:30:00,,,MEDIUM,,,,,,,,,,,,,
S2 | EURUSD | M15,FVA_IDEAL,EURUSD,M15,2026-04-17 17:45:00,BULLISH,1.18026,1.17899,1.18280,1.18491,12.70000,LOSS,-1.00000,2026-04-17 18:00:00,,,MEDIUM,,,,,,,,,,,,,
