run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-03-06 03:00:00,BEARISH,1.33696,1.33783,1.33522,1.33348,8.70000,LOSS,-1.00000,2026-03-06 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-03-18 04:00:00,BEARISH,1.33395,1.33663,1.32859,1.32732,26.80000,LOSS,-1.00000,2026-03-18 05:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-03-18 09:00:00,BEARISH,1.33395,1.33663,1.32859,1.32732,26.80000,LOSS,-1.00000,2026-03-18 11:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-03-18 11:00:00,BEARISH,1.33395,1.33663,1.32859,1.32732,26.80000,WIN,2.47000,2026-03-18 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-04-15 20:00:00,BULLISH,1.35598,1.35535,1.35724,1.35787,6.30000,WIN,3.00000,2026-04-16 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-04-15 21:00:00,BULLISH,1.35598,1.35535,1.35724,1.35787,6.30000,WIN,3.00000,2026-04-16 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-04-16 07:00:00,BULLISH,1.35598,1.35528,1.35738,1.35878,7.00000,LOSS,-1.00000,2026-04-16 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-04-17 00:00:00,BULLISH,1.35191,1.35142,1.35289,1.35387,4.90000,LOSS,-1.00000,2026-04-17 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-04-17 01:00:00,BULLISH,1.35191,1.35142,1.35289,1.35387,4.90000,LOSS,-1.00000,2026-04-17 02:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-04-17 02:00:00,BULLISH,1.35191,1.35142,1.35289,1.35387,4.90000,LOSS,-1.00000,2026-04-17 06:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | H1,FVA_IDEAL,GBPUSD,H1,2026-04-17 05:00:00,BULLISH,1.35191,1.35142,1.35289,1.35363,4.90000,LOSS,-1.00000,2026-04-17 06:00:00,,,MEDIUM,,,,,,,,,,,,,
