run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-07 15:30:00,BULLISH,1.32362,1.32336,1.32414,1.32466,2.60000,WIN,4.00000,2026-04-07 15:45:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-07 15:45:00,BULLISH,1.32362,1.32336,1.32414,1.32466,2.60000,WIN,4.00000,2026-04-07 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 07:30:00,BULLISH,1.33917,1.33877,1.33997,1.34062,4.00000,LOSS,-1.00000,2026-04-09 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 07:45:00,BULLISH,1.33917,1.33877,1.33997,1.34062,4.00000,LOSS,-1.00000,2026-04-09 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 08:45:00,BEARISH,1.34036,1.34082,1.33944,1.33852,4.60000,LOSS,-1.00000,2026-04-09 09:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 09:45:00,BEARISH,1.34036,1.34082,1.33944,1.33852,4.60000,LOSS,-1.00000,2026-04-09 10:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 10:00:00,BEARISH,1.34036,1.34082,1.33944,1.33852,4.60000,LOSS,-1.00000,2026-04-09 10:15:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 10:15:00,BEARISH,1.34036,1.34082,1.33944,1.33852,4.60000,LOSS,-1.00000,2026-04-09 11:15:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 10:30:00,BEARISH,1.34036,1.34082,1.33944,1.33852,4.60000,LOSS,-1.00000,2026-04-09 11:15:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 11:00:00,BEARISH,1.34036,1.34082,1.33944,1.33852,4.60000,LOSS,-1.00000,2026-04-09 11:15:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 22:15:00,BULLISH,1.34297,1.34249,1.34393,1.34489,4.80000,LOSS,-1.00000,2026-04-09 22:45:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 22:30:00,BULLISH,1.34297,1.34249,1.34393,1.34489,4.80000,LOSS,-1.00000,2026-04-09 22:45:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 23:00:00,BULLISH,1.34297,1.34249,1.34393,1.34489,4.80000,LOSS,-1.00000,2026-04-10 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 23:15:00,BULLISH,1.34297,1.34249,1.34393,1.34489,4.80000,LOSS,-1.00000,2026-04-10 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 23:30:00,BULLISH,1.34297,1.34249,1.34393,1.34489,4.80000,LOSS,-1.00000,2026-04-10 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-09 23:45:00,BULLISH,1.34297,1.34249,1.34393,1.34489,4.80000,LOSS,-1.00000,2026-04-10 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S2 | GBPUSD | M15,FVA_IDEAL,GBPUSD,M15,2026-04-10 01:30:00,BULLISH,1.34297,1.34249,1.34393,1.34489,4.80000,LOSS,-1.00000,2026-04-10 02:00:00,,,MEDIUM,,,,,,,,,,,,,
